x_coordina,y_coordina,Site,Habitat,Burnt,point_code,Full_code,site_code,long,lat
215293,331048,Cuilcagh,Blanket bog,N,252,CH252,CH,-7.766,54.228
215291,331351,Cuilcagh,Blanket bog,N,253,CH253,CH,-7.766,54.231
215282,332242,Cuilcagh,Blanket bog,N,256,CH256,CH,-7.766,54.239
215287,332541,Cuilcagh,Blanket bog,N,257,CH257,CH,-7.766,54.242
215603,330747,Cuilcagh,Blanket bog,N,265,CH265,CH,-7.762,54.225
215590,332248,Cuilcagh,Blanket bog,N,270,CH270,CH,-7.762,54.239
215888,330750,Cuilcagh,Blanket bog,N,276,CH276,CH,-7.757,54.225
215900,332543,Cuilcagh,Wet Heath,N,282,CH282,CH,-7.757,54.242
216187,331343,Cuilcagh,Blanket bog,Y,287,CH287,CH,-7.753,54.231
216187,332545,Cuilcagh,Blanket bog,Y,291,CH291,CH,-7.752,54.242
216184,332846,Cuilcagh,Blanket bog,N,292,CH292,CH,-7.752,54.244
216488,331345,Cuilcagh,Wet heath,Y,295,CH295,CH,-7.748,54.231
216490,331643,Cuilcagh,Blanket bog,Y,296,CH296,CH,-7.748,54.233
216505,332224,Cuilcagh,Blanket bog,Y,298,CH298,CH,-7.748,54.239
216788,331646,Cuilcagh,Dry heath,N,301,CH301,CH,-7.743,54.233
216252,332272,Cuilcagh,Dry heath,Y,291A,CH291A,CH,-7.751,54.239
216512,331572,Cuilcagh,Dry heath,Y,296A,CH296A,CH,-7.748,54.233
216508,332090,Cuilcagh,Dry heath,Y,298A,CH298A,CH,-7.748,54.237
332270,325215,Eastern Mournes,Wet heath,Y,73,EM73,EM,-5.976,54.159
332268,325653,Eastern Mournes,Wet heath,Y,74,EM74,EM,-5.976,54.163
332269,327892,Eastern Mournes,Wet heath,N,79,EM79,EM,-5.975,54.183
332716,323422,Eastern Mournes,Dry heath,N,91,EM91,EM,-5.970,54.143
332718,323870,Eastern Mournes,Wet heath,Y,92,EM92,EM,-5.970,54.147
332714,324827,Eastern Mournes,Dry heath,Y,95,EM95,EM,-5.969,54.155
332714,328343,Eastern Mournes,Bog,N,103,EM103,EM,-5.968,54.187
333163,324311,Eastern Mournes,Wet heath,Y,122,EM122,EM,-5.963,54.151
333167,324784,Eastern Mournes,Wet heath,Y,123,EM123,EM,-5.962,54.155
333175,325205,Eastern Mournes,Dry heath,Y,124,EM124,EM,-5.962,54.159
333163,328339,Eastern Mournes,Dry heath,N,134,EM134,EM,-5.961,54.187
333607,323428,Eastern Mournes,Dry heath,N,139,EM139,EM,-5.956,54.143
333606,324763,Eastern Mournes,Wet heath,Y,142,EM142,EM,-5.956,54.155
