Site,Burnt,Habitat,pH,P,K,Mg ,S,Ca,Total N,Total C
CH,N,Bog,4.12,4.6,53,222,9.59,249,1.78,52.5
CH,N,Bog,4.08,3.8,76,164,9.57,173,2,51.6
CH,N,Bog,4.21,3.1,68,168,11.2,177,2.28,51.2
CH,N,Bog,4.12,3,79,278,8.74,256,2.22,52.7
CH,N,Bog,3.94,11.9,89,303,7.49,314,2.43,53.2
CH,N,Bog,4.04,4,64,276,8.3,222,1.74,52.8
CH,N,Bog,4.18,3.2,44,169,7.06,191,1.74,51.7
CH,N,WH,4.2,5.4,40,122,6.71,200,1.62,50.8
CH,Y,Bog,4.24,4.1,81,139,7.6,217,1.54,52.7
CH,Y,Bog,4.11,2.5,67,194,7.65,207,1.47,52
CH,N,DH,4.22,9.3,190,214,10.2,306,1.89,53.6
CH,Y,Bog,4.9,7.9,198,150,8.25,310,1.69,52.2
CH,Y,WH,4.35,6.1,63,72,10.1,174,1.88,49.2
CH,Y,Bog,4.06,5.9,115,210,10.3,230,1.52,53
CH,Y,DH,3.94,5.1,132,202,6.94,297,1.79,53.5
CH,Y,Bog,4.28,2.3,31,97,4.96,169,1.28,51.1
CH,Y,DH,4.11,6,173,190,7.95,302,1.56,53.6
CH,N,DH,5.76,5.4,63,175,12.7,NA,0.67,8.8
EM,N,Bog,4.25,1.8,80,95,11,28,1.28,25.9
EM,Y,WH,4.47,2.2,96,55,14.7,104,1.54,30.6
EM,N,WH,4.55,0.8,54,87,10.5,99,0.46,10.8
EM,Y,DH,4.52,1.2,36,62,6.07,17,0.46,10.2
EM,N,DH,4.25,3.2,116,148,13.7,223,1.96,40
EM,N,DH,4.14,6.9,116,151,13.7,173,2.45,43.6
EM,Y,WH,4.4,2.8,69,186,8.06,255,0.66,14.1
EM,Y,WH,4.59,0.7,30,61,4.86,63,0.23,5.3
EM,Y,WH,4.31,3.5,87,199,10.1,249,2.22,45.4
EM,N,WH,4.25,1.7,90,64,10.3,75,1.82,45.8
EM,Y,DH,4.42,4.2,134,194,9.72,200,0.8,16.3
EM,Y,DH,4.08,3.9,65,215,7.26,279,1.88,43.4
EM,Y,WH,4.39,4.1,115,120,14.3,229,1.1,21.5
EM,Y,DH,4.18,2.9,71,207,6.55,287,1.37,38.8
EM,Y,DH,4.18,5.5,111,214,10.7,270,2.23,50.6
EM,Y,DH,4.46,3.4,115,73,17.1,138,2.3,46.8
EM,N,WH,4.41,2.6,91,125,13.5,152,2.25,45.6
EM,Y,DH,4.66,4.8,120,299,7.04,380,1.76,41.3
EM,Y,DH,4.59,3.2,50,132,6,193,0.45,10.5
EM,N,WH,4.82,0.8,35,19,9.71,32,0.12,2.5
