Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
CH250,215288,330452,0.7922,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,17,None,None,321,1.910344,77.005386,45,72,12,3,28,0,4,0,0,0
CH250,215288,330452,0.7922,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,19,None,None,321,1.910344,77.005386,43,64,11,2,33,0,6,0,0,0
CH251,215286,330745,0.7978,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,9,None,None,319,1.742046,99.462318,26,27,53,3,4,0,63,0,0,0
CH251,215286,330745,0.7978,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,11,None,None,319,1.742046,99.462318,26,39,46,1,3,0.5,40,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2012,CH,N,Bog,2012,4,Rare,Low,332,2.1807,113.199,14,11,20,0.5,0.5,0,68,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,5,None,None,332,2.1807,113.199,14,25,27,1,0.5,0,48,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,6,Rare,Low,332,2.1807,113.199,18,22,27,1,1,0,70,0,0,1
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2012,CH,N,Bog,2012,3,Frequent,High,348,6.02102,148.57,10,7,71,0.5,0.5,0,1,0,0,20
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2013,CH,N,Bog,2013,4,None,None,348,6.02102,148.57,24,8,64,3,0.5,0,16,0,0,9
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2014,CH,N,Bog,2014,5,Occaisional,Low,348,6.02102,148.57,17,14,79,1.5,5,0,9,0,0,1
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2012,CH,N,Bog,2012,4,None,None,396,2.36968,25.0169,15,5,62,27,0.5,0,4,0,0,1.5
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2013,CH,N,Bog,2013,5,None,None,396,2.36968,25.0169,16,26,38,23,1,0,11,0,0,2
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2014,CH,N,Bog,2014,6,Rare,Low,396,2.36968,25.0169,14,15,43,26,4,0,12,1,0,1
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2012,CH,Y,Bog,2012,3,None,None,368,8.92501,13.815,12,7,54,4,0.5,0,2,1,0,33
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2013,CH,Y,Bog,2013,4,None,None,368,8.92501,13.815,14,22,38,2,1,0,3,0,0,34
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2014,CH,Y,Bog,2014,5,None,None,368,8.92501,13.815,20,13,59,8,1,0,1,0,0,20
CH265,215603,330748,0.7742,-0.982532925,0.380075118,0.732174112,2012,CH,N,Bog,2012,16,None,None,314,3.29399,34.3803,60,67,11,1,22,0,0.5,0,0,0
