"","pCCA","CCA","CA"
"Agrostis.cappilaris",0.0514790212740611,0.30485207944167,0.643668899284269
"Agrostis_canina",0.11224539081075,0.103160973191765,0.784593635997484
"Anthoxanthum.odoratum",0.0421487603305785,0.165290296220761,0.792560943448661
"Betula.pubescens",0.047750229568411,0.0861412680449168,0.866108502386672
"Calluna_vulgaris",0.163832083402882,0.408821077052218,0.4273468395449
"Carex.rostrata",0.0421487603305785,0.0259689434833802,0.931882296186041
"Carex.viridula",0.0497268470028648,0.0716649438268004,0.878608209170335
"Carex.echinata",0.0669329142632986,0.152439431669741,0.78062765406696
"Carex_binervis",0.0325615162972691,0.301423632215572,0.666014851487159
"Carex_nigra",0.0694880164384192,0.0377772676055169,0.892734715956064
"Carex_panacea",0.0319806911735118,0.0836035034770253,0.884415805349463
"Carex_pilulifera",0.324077232256634,0.160752532184661,0.515170235558705
"Cirsium.dissectum",0.0477502295684112,0.52566399842859,0.426585772002999
"Danthonia_decumbens",0.0411684205514273,0.0279925654620265,0.930839013986546
"Deschampia_flexuosa",0.413915845591876,0.0922598585283468,0.493824295879777
"Drosera_intermedia",0.0833959429000749,0.0491602688433739,0.867443788256551
"Drosera_rotundifolia",0.148263019725365,0.144104300551554,0.707632679723081
"Empetrum_nigrum",0.196556276113671,0.0539948697430426,0.749448854143287
"Epilobium_palustre",0.0477502295684112,0.52566399842859,0.426585772002999
"Erica_cinerea",0.446601784159799,0.0511443651732719,0.502253850666929
"Erica_tetralix",0.209980582697609,0.22012277433889,0.569896642963501
"Eriophorum_angustifolium",0.107867148243689,0.042367045463033,0.849765806293278
"Eriophorum_vaginatum",0.365568375441354,0.045551910400495,0.588879714158151
"Festuca.vivipara",0.0190970576225044,0.175510070516692,0.805392871860803
"Galium.saxatile",0.238224361264726,0.0754652937330221,0.686310345002252
"Holcus_lancatus",0.0355076327190584,0.0788794687600248,0.885612898520917
"Holcus_mollis",0.0409622880147677,0.516522564553937,0.442515147431295
"Juncus.acutiflorus",0.0823948668841227,0.0578459728781073,0.85975916023777
"Juncus.bulbosus",0.0421487603305785,0.00726249489279607,0.950588744776625
"Juncus.conglomeratus",0.0421487603305783,0.0260884237516839,0.931762815917738
"Juncus.effusus",0.0912197612622494,0.0907668037245569,0.818013435013194
"Juncus_squarrosa",0.141927862986638,0.0621322751212237,0.795939861892139
"Listera.cordata",0.0448020878642888,0.0164990275751754,0.938698884560536
"Luzula_multiflora_congesta",0.0397895240724367,0.0579650027965128,0.902245473131051
"Molinia_caerula",0.272370381831316,0.170564567185352,0.557065050983332
"Myrica_gale",0.113673275037044,0.0390192397613132,0.847307485201643
"Nardus_stricta",0.227024209812269,0.177181728647862,0.595794061539869
"Narthecium_ossifragum",0.106904241483489,0.0948912327705889,0.798204525745922
"Oxalis.acetocella",0.0477502295684115,0.13881626995135,0.813433500480238
"Polygala.serpyllifolia",0.147664181431523,0.117324073780639,0.735011744787839
"Potentilla_erecta",0.0963339569496136,0.172841701923812,0.730824341126575
"Salix.repens",0.0213903743315507,0.0543009593264367,0.924308666342013
"Schoenus_nigricans",0.0213903743315507,0.0655191299772149,0.913090495691234
"Sorbus.aucuparia",0.0421487603305784,0.229609343090278,0.728241896579143
"Sum.of.Rumex.acetosa",0.0477502295684112,0.52566399842859,0.426585772002999
"Trichophorum_cespitosum",0.157279916525125,0.140714947346393,0.702005136128483
"Trifolium.repens",0.0477502295684112,0.52566399842859,0.426585772002999
"Ulex_g",0.127548211136251,0.119245838182689,0.75320595068106
"Vaccineum.oxycoccus",0.0421487603305784,0.0420221443686395,0.915829095300782
"Vaccineum_myrtilis",0.242783150729327,0.0852537128151837,0.671963136455489
"Viola.riviana",0.0477502295684112,0.52566399842859,0.426585772002999
"Other",0.0812539828719894,0.369766252336047,0.548979764791964
