"","pCCA","CCA","CA",""
"Agrostis.cappilaris",0.34256834150775,0.0137627592079801,0.64366889928427,-0.0397589708338563
"Agrostis_canina",0.215404230418259,2.13358425760032e-06,0.784593635997483,-0.000405159868174403
"Anthoxanthum.odoratum",0.19912842127789,0.00831063527344938,0.792560943448661,0.00333528944031175
"Betula.pubescens",0.131354473573553,0.00253702403977563,0.866108502386671,0.000593988913419808
"Calluna_vulgaris",0.269232972852186,0.303420187602915,0.427346839544898,-0.598566257092285
"Carex.rostrata",0.0587061508321249,0.00941155298183389,0.931882296186041,-0.0152805609677856
"Carex.viridula",0.109986957003328,0.0114048338263385,0.878608209170334,0.0236150936547088
"Carex.echinata",0.219173174749007,0.000199171184032492,0.780627654066961,-0.00109314437142654
"Carex_binervis",0.333851571499684,0.000133577013157826,0.666014851487158,0.00220570113246213
"Carex_nigra",0.107208763865348,5.65201785890672e-05,0.892734715956063,-0.000516777187412926
"Carex_panacea",0.112799522473192,0.00278467217734525,0.884415805349463,0.0131132615484881
"Carex_pilulifera",0.463388314818062,0.0214414496232322,0.515170235558706,0.053544018474483
"Cirsium.dissectum",0.54169988850189,0.0317143394951099,0.426585772003,-0.0046520656875939
"Danthonia_decumbens",0.068873648140976,0.00028733787247768,0.930839013986546,0.000827426619293829
"Deschampia_flexuosa",0.43898952608266,0.0671861780375639,0.493824295879777,0.119281909615288
"Drosera_intermedia",0.129002934260226,0.00355327748322305,0.867443788256551,0.00155715758233989
"Drosera_rotundifolia",0.263692434204461,0.028674886072458,0.707632679723081,-0.00970134971980295
"Empetrum_nigrum",0.214345532445816,0.0362056134108982,0.749448854143286,-0.0296610959253499
"Epilobium_palustre",0.541699888501892,0.0317143394951099,0.426585772002998,-0.0065790143884458
"Erica_cinerea",0.494353367305022,0.00339278202805217,0.502253850666926,0.0326998152190449
"Erica_tetralix",0.43004043706769,6.29199688094033e-05,0.569896642963501,-0.00352229191636951
"Eriophorum_angustifolium",0.146111077654407,0.0041231160523146,0.849765806293278,-0.0255578693061719
"Eriophorum_vaginatum",0.411068679651535,5.16061903139361e-05,0.588879714158151,-0.00597447060759515
"Festuca.vivipara",0.194603200077497,3.9280616998671e-06,0.805392871860803,0.00019156864184437
"Galium.saxatile",0.272513974244269,0.0411756807534784,0.686310345002253,0.0387850257377012
"Holcus_lancatus",0.100217282522073,0.0141698189570097,0.885612898520917,0.00434230563932743
"Holcus_mollis",0.541533059073737,0.0159517934949674,0.442515147431295,-0.0113758339572023
"Juncus.acutiflorus",0.13476760160685,0.00547323815537896,0.859759160237771,0.00334817364414489
"Juncus.bulbosus",0.0444290225338924,0.00498223268948227,0.950588744776625,0.00182605318546506
"Juncus.conglomeratus",0.0560042845312143,0.0122328995510481,0.931762815917737,-0.00412665147744365
"Juncus.effusus",0.168477908097826,0.0135086568889812,0.818013435013193,-0.0153836851362527
"Juncus_squarrosa",0.195401453305164,0.00865868480269706,0.795939861892139,0.00721105033191745
"Listera.cordata",0.0474924712577459,0.0138086441817185,0.938698884560536,-0.00309250618863495
"Luzula_multiflora_congesta",0.0968915791937864,0.000862947675163336,0.90224547313105,0.00269824654872046
"Molinia_caerula",0.441942185991104,0.000992763025564028,0.557065050983332,-0.0361500056569107
"Myrica_gale",0.152223822036495,0.000468692761862168,0.847307485201643,0.00437413830435012
"Nardus_stricta",0.400420281645294,0.0037856568148397,0.595794061539866,-0.017575419369254
"Narthecium_ossifragum",0.17542362928119,0.0263718449728877,0.798204525745922,-0.0890044264249907
"Oxalis.acetocella",0.173656051576778,0.0129104479429837,0.813433500480238,-0.00296816922846029
"Polygala.serpyllifolia",0.249077176365185,0.0159110788469762,0.735011744787839,0.0153087393669087
"Potentilla_erecta",0.255183799249684,0.0139918596237404,0.730824341126575,-0.0436773311219481
"Salix.repens",0.0686694176154063,0.00702191604258112,0.924308666342013,0.00271103473763799
"Schoenus_nigricans",0.0838749381621336,0.00303456614663198,0.913090495691234,0.00457304743466648
"Sorbus.aucuparia",0.262549043897028,0.00920905952382885,0.728241896579143,-0.00113451712951878
"Sum.of.Rumex.acetosa",0.541699888501892,0.0317143394951101,0.426585772002998,-0.0046520656875939
"Trichophorum_cespitosum",0.291309834118453,0.0066850297530635,0.702005136128483,-0.0653792365256411
"Trifolium.repens",0.541699888501892,0.0317143394951101,0.426585772002998,-0.0046520656875939
"Ulex_g",0.245148518021087,0.0016455312978521,0.753205950681061,0.00634363759252164
"Vaccineum.oxycoccus",0.0813209624329785,0.00284994226623973,0.915829095300782,0.00138777004035258
"Vaccineum_myrtilis",0.286001989683286,0.0420348738612246,0.671963136455489,0.110993144522519
"Viola.riviana",0.541699888501892,0.0317143394951101,0.426585772002998,-0.0046520656875939
"Other",0.128781810505563,0.322238424702473,0.548979764791963,0.531466765424877
